,label,f1_elo,f2_elo,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_str_landed,f1_avg_td_comp,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_str_landed,f2_avg_td_comp,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f2_win_rate,f2_finish_rate
940,1,1957.1669682796057,1568.2068893115893,1.1666666666666667,25.5,36.666666666666664,0.16666666666666666,0.5,51.333333333333336,0.0,9.285714285714286,17.714285714285715,0.8571428571428571,0.2857142857142857,77.57142857142857,1.0,0.3333333333333333,0.5714285714285714,0.0
941,1,1621.3848151398718,1723.002206742309,0.0,38.5,84.5,4.25,0.0,315.5,0.25,19.875,54.375,2.5,0.75,226.25,0.75,0.0,0.625,0.25
942,1,1614.7794612228333,1500.0,0.5,21.833333333333332,28.0,0.16666666666666666,0.16666666666666666,78.33333333333333,,,,,,,0.6666666666666666,0.16666666666666666,,
943,1,1600.09763601393,1529.1214833230288,0.0,8.0,55.0,0.0,1.0,54.0,0.3333333333333333,8.0,9.0,0.3333333333333333,1.0,47.666666666666664,1.0,1.0,0.6666666666666666,0.0
944,1,1500.0,1500.0,,,,,,,,,,,,,,,,
945,1,1420.0,1500.0,0.0,6.0,11.0,1.0,0.0,133.0,,,,,,,0.0,0.0,,
946,1,1500.0,1500.0,,,,,,,,,,,,,,,,
947,1,1580.0,1600.9033241459415,3.0,36.0,62.0,0.0,0.0,108.0,0.25,7.5,30.25,0.75,0.25,88.0,1.0,0.0,0.75,0.0
948,1,1634.5138470595255,1500.0,0.16666666666666666,38.5,67.83333333333333,1.1666666666666667,0.5,223.5,,,,,,,0.6666666666666666,0.0,,
949,1,1500.0,1500.0,,,,,,,,,,,,,,,,
950,1,1655.559783558493,1672.0052427805265,0.0,9.0,22.0,1.5,2.0,165.0,0.0,13.166666666666666,32.166666666666664,1.0,0.6666666666666666,118.5,1.0,1.0,0.6666666666666666,0.3333333333333333
951,1,1480.47503920954,1536.830831431098,0.0,19.5,22.5,1.0,1.0,83.0,0.3333333333333333,13.333333333333334,37.833333333333336,0.6666666666666666,0.8333333333333334,91.16666666666667,0.5,0.5,0.5,0.0
952,1,1548.0,1500.0,0.0,18.0,143.0,0.0,4.0,349.0,,,,,,,1.0,0.0,,
953,1,1512.1576424160442,1573.1990715033223,0.0,81.0,89.0,0.0,0.0,0.0,0.0,6.666666666666667,12.666666666666666,0.3333333333333333,0.3333333333333333,113.33333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666
954,1,1456.6955440512845,1482.7055180778966,0.0,16.0,32.0,1.0,0.0,68.0,0.5,26.5,51.75,1.75,0.75,178.5,0.0,0.0,0.5,0.0
955,1,1949.3220310730705,1848.6055757095542,0.3333333333333333,36.75,79.41666666666667,2.5,1.1666666666666667,309.0,0.0,11.25,17.625,0.875,2.0,113.125,0.8333333333333334,0.16666666666666666,1.0,0.375
956,1,1487.9074482699912,1500.0,0.0,22.0,32.0,0.0,1.0,8.0,,,,,,,0.0,0.0,,
957,1,1841.7800809006715,1772.847198350872,0.0,22.0,55.888888888888886,1.4444444444444444,1.0,148.22222222222223,0.16666666666666666,23.166666666666668,49.0,1.6666666666666667,1.5,138.33333333333334,0.7777777777777778,0.4444444444444444,1.0,0.16666666666666666
958,1,1569.1591736385292,1598.1018912245029,0.0,77.0,159.0,3.0,0.0,450.0,0.0,26.0,34.0,2.0,0.0,108.0,1.0,0.0,1.0,0.0
959,1,1702.6432478414974,1728.246876108186,0.7142857142857143,29.0,40.57142857142857,2.7142857142857144,1.0,318.42857142857144,0.5,16.25,18.5,0.25,0.25,41.25,0.7142857142857143,0.2857142857142857,1.0,0.75
960,1,1588.2213613521062,1482.0697959265224,0.0,15.0,41.0,0.7142857142857143,1.2857142857142858,197.14285714285714,0.0,9.714285714285714,19.0,0.8571428571428571,0.5714285714285714,129.42857142857142,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.14285714285714285
961,1,1511.2753917375114,1500.0,0.0,30.0,34.5,0.5,0.0,4.0,,,,,,,0.5,0.0,,
962,1,1522.127199481106,1584.1179111655988,0.25,34.75,66.0,2.0,1.0,193.25,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0
963,1,1831.9235569761504,1717.0610136575526,0.6666666666666666,41.583333333333336,58.0,0.9166666666666666,0.16666666666666666,167.08333333333334,0.2,23.8,39.2,1.2,0.2,52.2,0.8333333333333334,0.08333333333333333,0.8,0.0
964,1,1728.4088980811607,1907.5830430508524,0.5,24.833333333333332,40.0,5.0,0.0,355.5,0.05,14.95,19.05,0.45,0.0,26.4,1.0,0.0,0.8,0.0
965,1,1481.0244611598273,1489.0943076799017,0.0,35.0,57.0,0.0,0.0,110.0,0.0,8.5,34.25,1.0,0.5,196.5,0.0,0.0,0.5,0.0
966,1,1560.9075084426254,1523.9066387791918,0.0,17.333333333333332,38.333333333333336,2.3333333333333335,0.5,249.0,0.0,8.4,49.8,1.4,2.4,234.0,0.5,0.3333333333333333,0.6,0.2
967,1,1455.6827238225087,1478.6568997337044,0.0,7.666666666666667,22.0,1.3333333333333333,1.6666666666666667,124.33333333333333,0.0,2.0,2.25,0.5,0.0,9.5,0.3333333333333333,0.3333333333333333,0.5,0.0
968,1,1523.4156565910992,1517.9605624669766,0.16666666666666666,17.5,27.666666666666668,0.5,0.5,117.33333333333333,0.0,11.166666666666666,25.5,1.3333333333333333,1.3333333333333333,170.66666666666666,0.5,0.16666666666666666,0.5,0.3333333333333333
969,1,1756.3698475228991,1518.3725292659763,0.25,5.25,33.5,1.0,1.75,87.75,0.0,17.666666666666668,34.833333333333336,1.1666666666666667,0.6666666666666666,103.33333333333333,1.0,1.0,0.5,0.16666666666666666
970,1,1466.069890252755,1500.0,0.0,18.714285714285715,30.714285714285715,1.4285714285714286,0.0,125.57142857142857,,,,,,,0.42857142857142855,0.0,,
971,1,1572.106590535407,1638.4514266002645,0.5,32.833333333333336,77.16666666666667,3.0,0.8333333333333334,335.1666666666667,0.0,13.0,16.0,1.5,0.0,160.5,0.5,0.16666666666666666,1.0,1.0
