,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
303,0.0,4.5,2.0,-58.0,-60.0,-1.0,-3.5,0.5,-195.5,-0.5,0.5,0
306,0.0,8.166666666666666,25.333333333333336,-22.0,0.6666666666666714,3.3333333333333335,4.833333333333333,0.8333333333333334,307.5,-0.5,0.0,5
308,0.0,13.100000000000001,13.8,0.6000000000000014,-0.10000000000000142,0.6,0.6,1.8,-24.6,0.30000000000000004,0.30000000000000004,3
309,-0.14285714285714285,8.607142857142858,12.071428571428573,22.25,26.785714285714285,0.5714285714285714,0.4285714285714286,0.6071428571428572,42.39285714285714,-0.25,0.0357142857142857,-3
310,0.0,24.0,20.66666666666667,81.88888888888889,81.55555555555556,2.3333333333333335,2.777777777777778,-0.6666666666666666,488.88888888888886,0.11111111111111116,-0.1111111111111111,-6
311,0.0,11.0,11.0,89.0,97.0,4.0,5.0,0.0,555.0,0.0,0.0,0
312,-0.14285714285714285,-6.2857142857142865,-18.857142857142858,-19.0,-32.42857142857143,-0.5714285714285714,-1.8571428571428572,0.7142857142857143,-20.57142857142857,0.5714285714285714,0.5714285714285714,-6
313,0.7777777777777778,12.61111111111111,34.05555555555556,18.77777777777778,41.22222222222222,0.1111111111111111,-0.8888888888888888,0.0,20.0,0.16666666666666663,0.05555555555555558,7
316,0.0,17.666666666666664,7.866666666666667,39.93333333333333,28.066666666666677,2.3333333333333335,2.6,0.6,343.0,0.4,0.8,-2
317,0.08333333333333331,1.166666666666666,2.25,-6.916666666666668,-4.75,2.6666666666666665,9.583333333333334,-0.16666666666666669,136.66666666666666,-0.33333333333333337,0.16666666666666663,-1
318,0.0,10.333333333333332,25.666666666666664,-3.666666666666668,11.0,1.6666666666666667,9.666666666666666,0.0,-67.0,0.3333333333333333,0.3333333333333333,2
322,0.5,9.5,-15.0,119.0,97.5,1.0,1.5,1.0,366.0,0.5,0.0,1
325,1.0,62.0,135.0,-21.0,47.0,6.0,8.0,-3.0,202.0,1.0,0.0,0
327,0.2857142857142857,25.166666666666668,58.523809523809526,34.142857142857146,68.07142857142857,0.2857142857142857,-0.047619047619047616,0.0,47.57142857142857,0.023809523809523725,-0.6904761904761905,1
329,0.0,14.833333333333334,27.5,26.5,39.5,-0.16666666666666669,-0.16666666666666669,0.3333333333333333,149.5,-0.33333333333333337,-0.6666666666666667,1
331,0.0,0.8333333333333335,1.333333333333334,30.333333333333336,35.5,2.0,2.5,3.5,304.0,0.16666666666666669,-0.3333333333333333,-1
334,-0.5,15.5,15.200000000000003,31.5,31.049999999999997,3.7,4.85,-0.3,256.75,0.30000000000000004,-0.09999999999999998,1
336,0.3333333333333333,17.0,16.999999999999996,44.0,45.66666666666667,-2.0,-8.666666666666668,0.6666666666666666,16.333333333333343,0.0,0.3333333333333333,0
337,-0.1,-11.5,-36.8,-7.100000000000001,-33.5,1.6,3.6,0.0,416.1,-0.7,-0.6,-9
338,0.0,16.5,15.0,157.5,162.5,4.5,-0.5,-2.0,538.5,0.0,0.5,1
339,0.0,28.0,9.0,98.2,83.0,1.0,1.6,-0.8,285.0,-0.19999999999999996,-0.6,4
340,0.4,17.866666666666667,25.666666666666664,45.133333333333326,51.93333333333333,1.3333333333333335,-1.5333333333333332,-0.6,39.400000000000006,0.13333333333333341,0.46666666666666673,2
341,0.0,9.25,12.75,-3.5,-0.25,0.5,4.75,-0.75,-90.0,0.0,0.25,2
342,-0.125,16.375,20.25,51.0,57.375,2.75,4.875,0.875,274.25,0.125,0.375,-4
344,0.0,30.0,52.0,82.0,113.0,4.0,22.0,0.0,583.0,0.0,-1.0,0
346,0.0,7.0,27.416666666666664,2.583333333333332,22.5,-0.4166666666666667,-4.583333333333333,-0.33333333333333337,-159.16666666666666,-0.4166666666666667,-0.16666666666666669,-1
347,1.0,33.5,67.0,45.0,78.5,3.5,4.5,0.0,132.0,1.0,0.5,0
348,0.4,6.0,15.2,9.0,19.4,0.3999999999999999,1.2000000000000002,1.4,-39.8,-0.6,-0.6,4
349,0.375,24.333333333333332,54.833333333333336,-14.458333333333336,14.0,0.25,-0.08333333333333331,-1.6666666666666667,67.375,0.20833333333333337,0.125,5
350,0.1,20.26666666666667,29.0,54.0,64.43333333333332,3.1,3.8666666666666667,0.2,366.6,-0.033333333333333326,-0.33333333333333337,4
351,0.0,24.5,25.666666666666664,-39.5,-39.33333333333333,0.666666666666667,-4.833333333333333,-0.16666666666666669,53.333333333333314,0.33333333333333337,0.5,4
