,label,elo_diff,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
703,1,-107.72640679139863,0.14285714285714285,2.8095238095238084,-6.309523809523807,5.38095238095238,-3.2619047619047663,1.3095238095238095,2.2142857142857144,0.380952380952381,306.42857142857144,-0.1428571428571429,0.2857142857142857,1
728,1,53.63680042919373,0.0,19.9,48.45,39.55,71.6,4.525,5.325,0.32499999999999996,224.65,-0.050000000000000044,-0.07500000000000001,3
754,1,144.4366736206141,0.2222222222222222,5.031746031746032,-5.015873015873012,20.444444444444443,10.523809523809533,-0.523809523809524,-7.396825396825397,-0.04761904761904767,52.031746031746025,-0.19047619047619047,0.1111111111111111,2
757,1,-104.60935142678431,-0.14285714285714285,3.428571428571427,-9.428571428571423,59.57142857142858,47.85714285714285,0.7142857142857144,3.571428571428571,-0.14285714285714285,209.42857142857144,0.0,-0.14285714285714285,0
764,1,-4.111788586038529,0.4444444444444444,30.125,39.80555555555556,40.41666666666667,50.72222222222223,1.4583333333333335,2.0,-0.33333333333333337,148.91666666666666,-0.09722222222222221,-0.1388888888888889,1
789,1,46.318381005046376,0.0,2.428571428571427,-17.571428571428577,3.857142857142854,-16.714285714285722,-0.5714285714285714,-5.857142857142857,0.2857142857142857,-36.428571428571416,0.0,0.14285714285714285,0
790,1,70.32864708719922,0.3333333333333333,18.047619047619044,9.166666666666664,78.5952380952381,71.45238095238095,1.4285714285714286,2.6904761904761902,1.0476190476190474,354.42857142857144,0.1428571428571429,0.5,-1
792,1,-342.69771975718436,0.16666666666666666,30.388888888888893,72.27777777777777,38.72222222222222,81.05555555555554,-0.33333333333333337,-3.7777777777777772,0.0,-17.22222222222222,-0.16666666666666674,0.0,-12
816,1,207.94819697369417,0.42857142857142855,10.253968253968253,24.285714285714285,-14.158730158730158,1.6825396825396837,0.2698412698412699,0.04761904761904767,-0.2063492063492064,55.92063492063492,0.380952380952381,-0.3333333333333333,-2
834,1,-78.58322593524395,0.2888888888888889,30.98888888888889,52.96666666666666,44.644444444444446,67.42222222222222,1.9666666666666666,2.1222222222222222,0.2666666666666667,228.32222222222225,-0.033333333333333326,-0.1222222222222222,-8
835,1,-23.987283251418148,0.0,13.999999999999998,28.6,20.599999999999998,34.800000000000004,0.19999999999999996,-0.3999999999999999,0.6,13.400000000000006,-0.19999999999999996,0.4,0
844,1,66.02745803321113,0.033333333333333354,8.366666666666667,0.6333333333333329,29.633333333333333,20.0,0.33333333333333326,0.5,-0.2666666666666667,26.066666666666663,-0.13333333333333341,-0.1333333333333333,4
852,1,114.4853867875488,0.3333333333333333,-3.095238095238093,-7.5,-10.142857142857146,-15.047619047619044,-0.2142857142857143,-1.8333333333333333,-0.23809523809523808,-63.57142857142857,0.11904761904761907,0.19047619047619047,-1
859,1,-24.71703047461415,0.8,18.1,32.7,11.0,25.200000000000003,0.7999999999999998,-0.5,1.2,200.09999999999997,0.20000000000000007,-0.2,-5
866,1,72.59075143957375,0.3,14.76666666666667,32.7,57.3,76.06666666666666,0.6000000000000001,-0.10000000000000009,0.2,145.5,0.19999999999999996,0.1,4
868,1,90.14096437999638,-0.2,20.06666666666667,44.46666666666667,49.83333333333334,77.0,2.166666666666667,3.6999999999999997,0.7000000000000001,301.2666666666667,0.10000000000000009,-0.26666666666666666,-9
869,1,-111.64346261139895,0.0,9.8,15.600000000000001,2.3999999999999986,7.200000000000003,-0.4,-1.1999999999999997,-1.0,-53.60000000000001,-0.19999999999999996,0.0,0
875,1,-23.70620241074016,0.4,5.975000000000001,-1.8500000000000014,-6.575000000000003,-13.150000000000006,-0.875,-3.075,-0.30000000000000004,12.349999999999994,-0.050000000000000044,-0.1,-2
877,1,-135.2236731192795,0.2,3.3500000000000014,-0.5499999999999972,-9.05,-14.200000000000003,-1.225,-6.225,-0.15000000000000002,-3.0999999999999943,-0.22499999999999998,-0.04999999999999999,-3
886,1,211.29884753710348,0.26363636363636367,21.872727272727275,30.572727272727263,28.309090909090905,37.91818181818181,1.7636363636363637,-3.790909090909091,0.5727272727272728,200.26363636363638,0.21818181818181825,0.08181818181818182,1
887,1,327.2870676231696,0.6363636363636364,37.41818181818182,75.0909090909091,44.78181818181818,83.52727272727273,0.19999999999999996,-1.2363636363636366,0.18181818181818182,69.01818181818182,0.4181818181818182,-0.1090909090909091,6
891,1,251.47471702878943,-0.6,-0.1999999999999993,-3.1999999999999993,9.200000000000003,7.599999999999994,-0.5999999999999999,1.5999999999999996,-0.20000000000000007,70.19999999999999,0.39999999999999997,0.2,0
905,1,151.59420336592734,0.23863636363636365,9.056818181818183,2.4772727272727266,2.5227272727272663,-3.181818181818187,0.8636363636363635,0.5681818181818181,-0.46590909090909094,117.875,-0.022727272727272707,0.1477272727272727,3
908,1,28.345330850880373,0.45029239766081874,19.72514619883041,42.8187134502924,12.2280701754386,37.239766081871345,0.23976608187134507,-0.3391812865497076,-0.3450292397660819,34.526315789473685,-0.011695906432748537,-0.21052631578947367,-10
917,1,-62.234682459102714,0.14285714285714285,11.142857142857144,22.571428571428573,3.7142857142857153,13.714285714285715,0.42857142857142855,0.8571428571428572,0.2857142857142857,10.857142857142861,0.0,-0.14285714285714285,0
918,1,-191.8808428075231,-0.1875,8.95,9.524999999999999,16.0375,15.075000000000003,-0.2875,-0.65,1.3625,75.1625,-0.08750000000000002,-0.04999999999999999,-11
919,1,221.59564221948813,0.2222222222222222,5.222222222222221,12.0,3.6666666666666643,12.333333333333329,1.611111111111111,3.7777777777777777,0.5555555555555556,182.22222222222223,0.2777777777777778,0.0,3
922,1,-37.905363653895165,0.0,-3.3999999999999986,-11.850000000000001,-9.8,-18.775,-0.55,-3.675,0.8999999999999999,-92.55,-0.025000000000000022,0.275,-3
932,1,124.54010247224824,0.0,9.542857142857143,2.171428571428571,9.085714285714282,5.228571428571428,0.6000000000000001,0.3999999999999999,1.6571428571428573,102.94285714285714,0.11428571428571432,0.08571428571428569,2
936,1,232.91811075959936,0.2,0.3999999999999986,3.9454545454545453,-15.654545454545456,-11.681818181818187,2.0454545454545454,3.172727272727273,-0.13636363636363635,230.0181818181818,0.4363636363636364,-0.0727272727272727,-1
940,1,388.96007896801643,1.1666666666666667,16.214285714285715,17.333333333333332,18.95238095238095,21.071428571428573,-0.6904761904761905,-1.0952380952380953,0.2142857142857143,-26.238095238095234,0.4285714285714286,0.3333333333333333,-1
955,1,100.71645536351639,0.3333333333333333,25.5,42.08333333333333,61.79166666666667,79.91666666666667,1.625,0.20833333333333348,-0.8333333333333333,195.875,-0.16666666666666663,-0.20833333333333334,4
957,1,68.93288254979939,-0.16666666666666666,-1.1666666666666679,-10.5,6.888888888888886,-6.944444444444443,-0.22222222222222232,-1.2222222222222223,-0.5,9.888888888888886,-0.2222222222222222,0.2777777777777778,3
960,1,106.15156542558384,0.0,5.2857142857142865,4.428571428571427,22.0,21.142857142857146,-0.1428571428571428,3.142857142857143,0.7142857142857144,67.71428571428572,0.0,0.14285714285714285,0
963,1,114.86254331859777,0.4666666666666666,17.783333333333335,29.4,18.799999999999997,29.91666666666667,-0.2833333333333333,-2.15,-0.033333333333333354,114.88333333333334,0.033333333333333326,0.08333333333333333,7
964,1,-179.17414496969172,0.45,9.883333333333333,15.733333333333334,20.95,28.08333333333333,4.55,4.133333333333333,0.0,329.1,0.19999999999999996,0.0,-14
966,1,37.000869663433605,0.0,8.933333333333332,15.433333333333337,-11.466666666666661,-7.400000000000006,0.9333333333333336,0.6666666666666665,-1.9,15.0,-0.09999999999999998,0.1333333333333333,1
968,1,5.455094124122525,0.16666666666666666,6.333333333333334,22.166666666666668,2.166666666666668,18.0,-0.8333333333333333,-1.1666666666666667,-0.8333333333333333,-53.33333333333333,0.0,-0.16666666666666666,0
978,1,117.23391710362262,0.42857142857142855,18.83116883116883,39.558441558441565,16.857142857142854,40.1948051948052,0.4675324675324676,0.025974025974025983,0.3896103896103896,37.09090909090909,0.1298701298701298,-0.09090909090909091,-4
979,1,-138.69281927886368,0.25,24.339285714285715,72.0,17.82142857142857,65.42857142857143,-0.4464285714285714,-1.1785714285714286,0.0,-74.39285714285714,-0.0892857142857143,-0.14285714285714285,1
988,1,-159.30807714073012,0.2,-1.2444444444444436,1.7999999999999972,7.111111111111114,11.955555555555563,-0.1777777777777778,-1.9555555555555553,0.15555555555555556,-58.13333333333334,-0.35555555555555557,0.0888888888888889,-4
989,1,2.6105602136051402,0.0,8.0,6.666666666666664,76.77777777777777,79.44444444444446,1.7222222222222219,2.6111111111111116,-1.3888888888888888,334.05555555555554,-0.16666666666666674,-0.05555555555555555,3
990,1,98.32512487048962,0.6,15.563636363636363,17.490909090909092,10.618181818181814,14.299999999999997,-0.12727272727272732,-0.49090909090909085,-0.9636363636363635,2.663636363636357,-0.018181818181818188,-0.18181818181818182,-1
994,1,207.17287486744908,0.23333333333333336,15.7,45.93333333333332,37.7,69.13333333333333,1.6333333333333333,4.766666666666667,1.6333333333333333,222.33333333333334,0.30000000000000004,0.4,-1
996,1,341.64837447016544,0.8928571428571428,4.464285714285715,-13.660714285714285,7.160714285714285,-10.107142857142854,-0.23214285714285715,-1.9642857142857144,0.17857142857142855,-64.64285714285714,0.5,0.2857142857142857,-1
