,event,date,fight_name,f1,f2,winner,method,fight_length,f1_kd,f1_sig_str_landed,f1_sig_str_att,f1_str_landed,f1_str_att,f1_td_comp,f1_td_att,f1_sub_att,f1_ctrl_time,f2_kd,f2_sig_str_landed,f2_sig_str_att,f2_str_landed,f2_str_att,f2_td_comp,f2_td_att,f2_sub_att,f2_ctrl_time,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_sig_str_att,f1_avg_str_landed,f1_avg_str_att,f1_avg_td_comp,f1_avg_td_att,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_sig_str_att,f2_avg_str_landed,f2_avg_str_att,f2_avg_td_comp,f2_avg_td_att,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f1_total_fights,f2_win_rate,f2_finish_rate,f2_total_fights,f1_elo,f2_elo
22,UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn vs Anthony Macias,Dan Severn,Anthony Macias,Dan Severn,Submission,105,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,8.0,9.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,27.0,43.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,1,,,0,1487.4235141372715,1500.0
23,UFC 4: Revenge of the Warriors,1994-12-16,Steve Jennum vs Melton Bowen,Steve Jennum,Melton Bowen,Steve Jennum,Submission,287,0.0,13.0,40.0,29.0,70.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,48.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,7.0,13.0,1.0,1.0,0.0,0.0,,,,,,,,,,1.0,1.0,1,,,0,1516.736306793522,1500.0
24,UFC 4: Revenge of the Warriors,1994-12-16,Keith Hackney vs Joe Son,Keith Hackney,Joe Son,Keith Hackney,Submission,164,0.0,8.0,14.0,10.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,34.0,50.0,36.0,52.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1,,,0,1516.0,1500.0
25,UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie vs Ron van Clief,Royce Gracie,Ron van Clief,Royce Gracie,Submission,229,0.0,7.0,11.0,27.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,36.333333333333336,38.333333333333336,0.5,1.1666666666666667,1.3333333333333333,0.0,,,,,,,,,,1.0,1.0,6,,,0,1588.0838854888948,1500.0
26,UFC 4: Revenge of the Warriors,1994-12-16,Guy Mezger vs Jason Fairn,Guy Mezger,Jason Fairn,Guy Mezger,KO/TKO,133,0.0,19.0,30.0,23.0,34.0,1.0,1.0,0.0,0.0,1.0,9.0,12.0,12.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
27,UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie vs Keith Hackney,Royce Gracie,Keith Hackney,Royce Gracie,Submission,332,0.0,11.0,23.0,45.0,58.0,0.0,2.0,3.0,0.0,0.0,4.0,13.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,4.142857142857143,35.0,37.285714285714285,0.5714285714285714,1.1428571428571428,1.2857142857142858,0.0,0.0,0.5,2.5,4.0,6.5,0.5,1.0,0.5,0.0,1.0,1.0,7,1.0,1.0,2,1600.1122039617167,1531.263693206478
28,UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn vs Marcus Bossett,Dan Severn,Marcus Bossett,Dan Severn,Submission,52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,13.5,21.5,1.5,3.0,0.5,0.0,,,,,,,,,,0.5,0.5,2,,,0,1504.0024298860708,1500.0
29,UFC 4: Revenge of the Warriors,1994-12-16,Joe Charles vs Kevin Rosier,Joe Charles,Kevin Rosier,Joe Charles,Submission,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
30,UFC 4: Revenge of the Warriors,1994-12-16,Marcus Bossett vs Eldo Xavier Dias,Marcus Bossett,Eldo Xavier Dias,Marcus Bossett,KO/TKO,295,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1,,,0,1484.1843105547057,1500.0
31,UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau vs Asbel Cancio,Dave Beneteau,Asbel Cancio,Dave Beneteau,KO/TKO,21,0.0,12.0,18.0,12.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
32,UFC 5: The Return of the Beast,1995-04-07,Guy Mezger vs John Dowdy,Guy Mezger,John Dowdy,Guy Mezger,KO/TKO,122,1.0,12.0,17.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,23.0,34.0,1.0,1.0,0.0,0.0,,,,,,,,,,1.0,1.0,1,,,0,1516.0,1500.0
